Sample name,Sequence count
YUN3428.2,14091
BAQ4166.1.2,13030
BAQ4166.3,12333
YUN3533.3,12059
YUN3856.3,11918
BAQ4166.2,11749
YUN3533.2,11439
BAQ3473.1,11037
BAQ3473.3,10965
BAQ4697.3,10714
YUN3259.3,10302
BAQ4166.1.1,10161
YUN3428.3,10080
YUN3856.1.1,10053
YUN3259.2,9944
YUN3428.1,9936
BAQ4166.1.3,9889
YUN3856.2,9379
YUN3856.1.2,9076
YUN3533.1.1,8884
BAQ2462.1,8679
YUN3533.1.2,8602
YUN1005.1.1,8514
BAQ3473.2,8505
BAQ2687.3,8491
YUN2029.2,8267
BAQ2687.1,8112
BAQ4697.1,8088
BAQ4697.2,7507
YUN3533.1.3,7474
YUN3346.3,7469
YUN1609.1,7043
YUN1242.3,6892
BAQ2420.1.1,6855
YUN3856.1.3,6825
BAQ2420.1.2,6567
BAQ2687.2,6505
YUN3259.1.2,6485
YUN3346.1,6243
BAQ2420.1.3,6201
BAQ2420.2,6166
BAQ2462.2,6045
BAQ2420.3,6043
BAQ2838.1,5657
YUN1242.1,5550
YUN3153.3,5368
BAQ2838.2,5118
BAQ2462.3,4617
YUN3153.2,4429
YUN1005.3,3780
BAQ2838.3,3666
YUN3259.1.3,2626
YUN3346.2,1729
YUN3259.1.1,548
YUN2029.1,46
BAQ1552.1.1,34
YUN3008.3,20
BAQ895.2,13
YUN1242.2,6
YUN3008.1.3,4
YUN3184.2,4
YUN3008.2,3
BAQ895.3,2
YUN3153.1,1
YUN3184.1,1
BAQ1370.1.3,1
